date,filename,word_count,slug,type_suite,theme,regime_icpe,categorie_seveso,nom_commune,id_icpe,source_pdf
2022-04-21,elevage-des-dunes-des-sages31004992022-04-2179009503800010f01.txt,135,elevage-des-dunes-des-sages31004992022-04-2179009503800010f01,Avec suites *,"Risques accidentels, Dispositions générales",AUTRE,,Abzac,3100499,ELEVAGE-DES-DUNES-DES-SAGES_3100499_2022-04-21_79009503800010.pdf
2022-06-03,bibliotheque-meriadeck-bordeaux52070742022-06-0391195064000019f06.txt,139,bibliotheque-meriadeck-bordeaux52070742022-06-0391195064000019f06,,"Risques chroniques, TAR",AUTRE,,Bordeaux,5207074,BIBLIOTHEQUE-MERIADECK-BORDEAUX_5207074_2022-06-03_91195064000019.pdf
2022-06-03,bibliotheque-meriadeck-bordeaux52070742022-06-0391195064000019f18.txt,80,bibliotheque-meriadeck-bordeaux52070742022-06-0391195064000019f18,Susceptible de suites,"Risques chroniques, TAR",AUTRE,,Bordeaux,5207074,BIBLIOTHEQUE-MERIADECK-BORDEAUX_5207074_2022-06-03_91195064000019.pdf
2022-06-07,sarl-moulin-du-caouley52008782022-06-0732368394600012f04.txt,65,sarl-moulin-du-caouley52008782022-06-0732368394600012f04,"Avec suites
Proposition de sultes : Lettre de suite préfectorale
Proposition de
délais :3 mois","Risques chroniques, Prescriptions générales",AUTORISATION,NON_SEVESO,Lerm-et-Musset,5200878,SARL-MOULIN-DU-CAOULEY_5200878_2022-06-07_32368394600012.pdf
2022-06-07,sarl-moulin-du-caouley52008782022-06-0732368394600012f03.txt,38,sarl-moulin-du-caouley52008782022-06-0732368394600012f03,"Avec suites
—","Risques chroniques, Prescriptions concernant la police de l'eau",AUTORISATION,NON_SEVESO,Lerm-et-Musset,5200878,SARL-MOULIN-DU-CAOULEY_5200878_2022-06-07_32368394600012.pdf
2022-06-07,sarl-moulin-du-caouley52008782022-06-0732368394600012f02.txt,76,sarl-moulin-du-caouley52008782022-06-0732368394600012f02,"Sans suite
L","Risques chroniques, Prescriptions concernant la police de l'eau
Point de contrôle déjà contrélé : Sans Objet",AUTORISATION,NON_SEVESO,Lerm-et-Musset,5200878,SARL-MOULIN-DU-CAOULEY_5200878_2022-06-07_32368394600012.pdf
2022-06-07,sarl-moulin-du-caouley52008782022-06-0732368394600012f12.txt,58,sarl-moulin-du-caouley52008782022-06-0732368394600012f12,"Sans suite
Proposition de sultes : Sans objet","Risques chroniques, Prescriptions générales",AUTORISATION,NON_SEVESO,Lerm-et-Musset,5200878,SARL-MOULIN-DU-CAOULEY_5200878_2022-06-07_32368394600012.pdf
2022-06-07,sarl-moulin-du-caouley52008782022-06-0732368394600012f11.txt,104,sarl-moulin-du-caouley52008782022-06-0732368394600012f11,"Sans suite
Proposition de sultes : Sans'objet
n","Risques chroniques, Prescriptions générales",AUTORISATION,NON_SEVESO,Lerm-et-Musset,5200878,SARL-MOULIN-DU-CAOULEY_5200878_2022-06-07_32368394600012.pdf
2022-06-07,sarl-moulin-du-caouley52008782022-06-0732368394600012f08.txt,137,sarl-moulin-du-caouley52008782022-06-0732368394600012f08,"Sans suite
|
Proposition de sultes : Sans objet
|

‘N°9 : Localisation","Risques chroniques, Prescriptions concernant
la police de l'eau",AUTORISATION,NON_SEVESO,Lerm-et-Musset,5200878,SARL-MOULIN-DU-CAOULEY_5200878_2022-06-07_32368394600012.pdf
2022-06-07,sarl-moulin-du-caouley52008782022-06-0732368394600012f06.txt,326,sarl-moulin-du-caouley52008782022-06-0732368394600012f06,"Susceptible
de suites",,AUTORISATION,NON_SEVESO,Lerm-et-Musset,5200878,SARL-MOULIN-DU-CAOULEY_5200878_2022-06-07_32368394600012.pdf
2022-06-07,sarl-moulin-du-caouley52008782022-06-0732368394600012f14.txt,96,sarl-moulin-du-caouley52008782022-06-0732368394600012f14,Susceptible de‘suites,"Risques chroniques, Prescriptions générales",AUTORISATION,NON_SEVESO,Lerm-et-Musset,5200878,SARL-MOULIN-DU-CAOULEY_5200878_2022-06-07_32368394600012.pdf
2022-06-09,querandeau-production52011902022-06-0995036494300015f04.txt,251,querandeau-production52011902022-06-0995036494300015f04,Sans suite,"Risques chroniques, Préservation du bois – entretien et contrôle",AUTORISATION,NON_SEVESO,Saint-Jean-d'Illac,5201190,QUERANDEAU-Production_5201190_2022-06-09_95036494300015.pdf
2022-08-17,vermilion-rep-s-a-s-la-teste-de-buch52013492022-08-1741096483700083f04.txt,155,vermilion-rep-s-a-s-la-teste-de-buch52013492022-08-1741096483700083f04,Sans suite,"Risques accidentels, Conditions préalable de remise en service",AUTORISATION,SEUIL_HAUT,La Teste-de-Buch,5201349,VERMILION-REP-S-A-S-La-Teste-de-Buch_5201349_2022-08-17_41096483700083.pdf
2022-08-23,u-logistique-sas52008502022-08-2381014656300178f01.txt,339,u-logistique-sas52008502022-08-2381014656300178f01,Sans suites,"Risques accidentels, Documentation POI",AUTORISATION,SEUIL_BAS,Langon,5200850,U-LOGISTIQUE-SAS_5200850_2022-08-23_81014656300178.pdf
2022-08-23,u-logistique-sas52008502022-08-2381014656300178f04.txt,553,u-logistique-sas52008502022-08-2381014656300178f04,Sans suites,"Risques accidentels, Exercices",AUTORISATION,SEUIL_BAS,Langon,5200850,U-LOGISTIQUE-SAS_5200850_2022-08-23_81014656300178.pdf
2022-08-23,descas-pere-fils-ex-xpo52080912022-08-23nosiretf02.txt,183,descas-pere-fils-ex-xpo52080912022-08-23nosiretf02,Susceptible de suites,"Situation administrative, conformité",NON_ICPE,,Langon,5208091,DESCAS-PERE-FILS-ex-XPO_5208091_2022-08-23_nosiret.pdf
2022-08-30,bonnieu52006022022-08-3038174994400017f07.txt,253,bonnieu52006022022-08-3038174994400017f07,Susceptible de suites,"Risques accidentels, Rétention des eaux d'incendie",ENREGISTREMENT,NON_SEVESO,Bouliac,5200602,BONNIEU_5200602_2022-08-30_38174994400017.pdf
2022-09-02,o-i-france-sas52013752022-09-0233903070200130f10.txt,788,o-i-france-sas52013752022-09-0233903070200130f10,Sans suites,"Risques chroniques, Tours aéro réfigérantes",AUTORISATION,NON_SEVESO,Vayres,5201375,O-I-France-SAS_5201375_2022-09-02_33903070200130.pdf
2022-09-08,lafarge-granulats-lg-le-fieu52082772022-09-0856211088201575f12.txt,461,lafarge-granulats-lg-le-fieu52082772022-09-0856211088201575f12,"Conformément à l’article 16 Bis de l’arrêté ministériel du 22 septembre
1994, l’exploitant transmettra le PGD à madame la Préfète.","Actions nationales 2022, Plan de gestion des déchets",AUTORISATION,NON_SEVESO,Le Fieu,5208277,LAFARGE-GRANULATS-LG-Le-Fieu_5208277_2022-09-08_56211088201575.pdf
2022-09-26,scea-l-aurage52122182022-09-2644980022600010f03.txt,32,scea-l-aurage52122182022-09-2644980022600010f03,"Sans suite
Proposition de sultes : Sans objet","Risques chroniques, Exploitation et entretien",AUTRE,,Saint-Genès-de-Castillon,5212218,SCEA-L-AURAGE_5212218_2022-09-26_44980022600010.pdf
